transaction_id,customer_id,card_number,timestamp,vendor_category,vendor_type,vendor,amount,currency,country,city,city_size,card_type,is_card_present,device,channel,device_fingerprint,ip_address,is_outside_home_country,is_high_risk_vendor,is_weekend,last_hour_activity,is_fraud
TX_8ab03451,CUST_45506,4276387718511132,2024-10-02 07:37:53.648473,Restaurant,casual,Red Lobster,544.43,BRL,Brazil,Unknown City,medium,Basic Debit,False,Firefox,web,3e8902e5ca8ea02f5c1cafab83b7855c,236.8.107.158,False,False,False,"{'num_transactions': 410, 'total_amount': 9771834.612817284, 'unique_merchants': 103, 'unique_countries': 12, 'max_single_amount': 2076391.2394741082}",False
TX_9b278186,CUST_60434,6372131493335111,2024-10-08 01:20:04.635733,Education,online,Skillshare,1.46,CAD,Canada,Unknown City,medium,Basic Credit,True,Magnetic Stripe,pos,1703fbd0ec57fee12ffe2257dc15e3f2,119.123.124.179,True,False,False,"{'num_transactions': 1203, 'total_amount': 31492719.851344902, 'unique_merchants': 105, 'unique_countries': 12, 'max_single_amount': 2426353.930477201}",True
TX_7f80b3c4,CUST_47739,6032951922681435,2024-10-28 16:04:39.625391,Entertainment,streaming,Disney+,158.73,CAD,Canada,Unknown City,medium,Basic Debit,True,Chip Reader,pos,3481722c89ab59b5ea450adfc07b55ba,105.166.250.133,False,True,False,"{'num_transactions': 100, 'total_amount': 3168371.4339842075, 'unique_merchants': 62, 'unique_countries': 11, 'max_single_amount': 807962.4748011598}",True
TX_7202f8a2,CUST_77691,5021869140628407,2024-10-03 15:06:36.624159,Restaurant,casual,TGI Fridays,1074.57,BRL,Brazil,Unknown City,medium,Basic Credit,False,Firefox,web,f5b0c8568cbb2c110ac396ff09baad90,196.70.93.112,False,False,False,"{'num_transactions': 335, 'total_amount': 6421794.143376851, 'unique_merchants': 99, 'unique_countries': 12, 'max_single_amount': 1163648.325875497}",False
TX_75f107d6,CUST_86097,5070103713053862,2024-10-19 10:30:45.169341,Entertainment,streaming,HBO Max,1399.64,MXN,Mexico,Unknown City,medium,Basic Debit,False,Firefox,web,c2515c6f7a3b534c8ab23d31cf57f29a,161.127.213.117,False,True,True,"{'num_transactions': 426, 'total_amount': 14338015.880816903, 'unique_merchants': 100, 'unique_countries': 12, 'max_single_amount': 1915303.4146045926}",False
TX_2337e624,CUST_30880,370393696569335,2024-10-11 20:29:34.102103,Travel,transport,Hertz,191.76,SGD,Singapore,Unknown City,medium,Basic Credit,False,Edge,web,5ce78ffb63552d6a226e48b06f1af272,169.151.116.215,False,True,False,"{'num_transactions': 56, 'total_amount': 1996742.5062692952, 'unique_merchants': 46, 'unique_countries': 8, 'max_single_amount': 1436296.456002305}",False
TX_639f9bb6,CUST_34674,4946253549661464,2024-10-23 21:28:19.387844,Education,supplies,Barnes & Noble,545.93,EUR,France,Unknown City,medium,Platinum Credit,False,Safari,web,ed6b4a16eb13dffc97f72b319a2e2c35,219.114.86.123,False,False,False,"{'num_transactions': 373, 'total_amount': 6266952.380563878, 'unique_merchants': 99, 'unique_countries': 10, 'max_single_amount': 1033561.9801986845}",False
TX_a6b24749,CUST_72925,371801192605188,2024-10-12 12:39:12.726418,Gas,local,Highway Gas Stop,238.99,EUR,France,Unknown City,medium,Premium Debit,False,iOS App,mobile,bf28113bfa9752c20abf588c8fc073e5,185.222.25.71,True,False,True,"{'num_transactions': 336, 'total_amount': 5359553.886697326, 'unique_merchants': 101, 'unique_countries': 12, 'max_single_amount': 839447.6397482364}",False
TX_d8e58d93,CUST_19349,5019634320904059,2024-10-03 13:20:15.380351,Entertainment,events,StubHub,144015.31,RUB,Russia,Unknown City,medium,Basic Credit,True,Chip Reader,pos,793d8e745d2b346c4ddc27a534083243,207.149.162.235,True,True,False,"{'num_transactions': 323, 'total_amount': 37536171.927096404, 'unique_merchants': 97, 'unique_countries': 12, 'max_single_amount': 1395723.9844904297}",True
TX_d808df32,CUST_59050,370198874524543,2024-10-30 14:57:46.183862,Education,online,Coursera,5569.86,BRL,Brazil,Unknown City,medium,Platinum Credit,True,NFC Payment,pos,9fbdcb2731930495998ddef242c706ad,117.183.128.117,True,False,False,"{'num_transactions': 1, 'total_amount': 6095.975455464042, 'unique_merchants': 1, 'unique_countries': 1, 'max_single_amount': 5569.860439382838}",True
TX_ac6c746f,CUST_61807,5652623773694665,2024-10-05 03:08:16.726296,Retail,physical,Nike Store,15.94,BRL,Brazil,Unknown City,medium,Gold Credit,False,Safari,web,984f5381c0e4be296785fbdcdd67deed,153.39.194.39,True,False,True,"{'num_transactions': 876, 'total_amount': 22379665.24140432, 'unique_merchants': 105, 'unique_countries': 12, 'max_single_amount': 1933314.6187519196}",True
TX_0c8c4a01,CUST_12473,6360675664003084,2024-10-14 11:51:21.448542,Entertainment,events,Ticketmaster,54424.37,JPY,Japan,Unknown City,medium,Premium Debit,False,Android App,mobile,2a967756a551db2e1b2132c87c4d3ac1,213.167.181.246,False,True,False,"{'num_transactions': 807, 'total_amount': 54163543.47190171, 'unique_merchants': 104, 'unique_countries': 12, 'max_single_amount': 4293846.477200602}",False
TX_03467e03,CUST_88146,378381975072032,2024-10-06 18:39:08.787985,Travel,booking,Airbnb,2391.97,BRL,Brazil,Unknown City,medium,Basic Credit,False,Chrome,web,95ea968064ad262005567958b4bb13fc,217.33.201.234,False,True,True,"{'num_transactions': 318, 'total_amount': 7049696.055755533, 'unique_merchants': 101, 'unique_countries': 12, 'max_single_amount': 930460.9458845485}",False
TX_32d00d60,CUST_90054,376778512471746,2024-10-09 03:05:27.729644,Retail,online,Etsy,66685.16,MXN,Mexico,Unknown City,medium,Gold Credit,False,Edge,web,e17093c245082c88a5cdd0d7ed006b1c,101.134.47.55,True,False,False,"{'num_transactions': 280, 'total_amount': 8657650.014730792, 'unique_merchants': 94, 'unique_countries': 12, 'max_single_amount': 2936290.29960017}",True
TX_975dab0f,CUST_47875,5128531850988254,2024-10-07 20:42:04.886865,Gas,major,Exxon,3.63,EUR,France,Unknown City,medium,Basic Debit,False,Android App,mobile,0cb734118b1cc5edb7cf63178de8980e,66.86.17.242,True,False,False,"{'num_transactions': 666, 'total_amount': 18423359.79822415, 'unique_merchants': 104, 'unique_countries': 12, 'max_single_amount': 2843223.56379156}",True
TX_587a39a0,CUST_92625,6669034591840176,2024-10-11 17:15:52.462854,Retail,online,Newegg,533.35,AUD,Australia,Unknown City,medium,Basic Credit,False,Firefox,web,87209d763211480aac92840575825d04,241.87.130.99,False,False,False,"{'num_transactions': 585, 'total_amount': 18536802.24318669, 'unique_merchants': 103, 'unique_countries': 12, 'max_single_amount': 1926026.4058197706}",False
TX_47b3da61,CUST_48110,6946200734019037,2024-10-20 08:11:27.047458,Healthcare,medical,Urgent Care,1943.38,USD,USA,New York,large,Platinum Credit,False,iOS App,mobile,cdaa5a943dea53ac47fdf98d416081e4,62.61.224.106,False,False,True,"{'num_transactions': 123, 'total_amount': 2658551.562770971, 'unique_merchants': 71, 'unique_countries': 12, 'max_single_amount': 733040.9084933563}",False
TX_f59da0a9,CUST_95361,372610327937757,2024-10-01 19:13:40.996160,Grocery,physical,Whole Foods,200.08,AUD,Australia,Unknown City,medium,Basic Debit,False,Chrome,web,15b7cebe1e14445c46c8b8639046d6d4,249.55.29.54,False,False,False,"{'num_transactions': 1268, 'total_amount': 37577277.79976364, 'unique_merchants': 105, 'unique_countries': 12, 'max_single_amount': 1896855.5152560782}",False
TX_befdfa52,CUST_98719,373475735923818,2024-10-27 10:42:25.307004,Education,online,MasterClass,3869.52,BRL,Brazil,Unknown City,medium,Gold Credit,False,Android App,mobile,8921b7ed8b15c404c98818ae87e13026,195.218.139.151,True,False,True,"{'num_transactions': 94, 'total_amount': 3077560.43855419, 'unique_merchants': 55, 'unique_countries': 9, 'max_single_amount': 1397924.2020221364}",True
TX_21df325b,CUST_99141,5306833295604940,2024-10-16 20:41:49.234163,Retail,physical,Home Depot,943.32,EUR,Germany,Unknown City,medium,Platinum Credit,False,Edge,web,de082cd52309957d6255b27672bdd36b,161.30.242.4,False,False,False,"{'num_transactions': 672, 'total_amount': 20440354.628565393, 'unique_merchants': 103, 'unique_countries': 12, 'max_single_amount': 1102460.7068550354}",False
TX_e5cd4328,CUST_36804,373952437984785,2024-10-23 03:09:09.846730,Gas,major,Chevron,17516.88,JPY,Japan,Unknown City,medium,Basic Debit,False,Firefox,web,387f3cd552953f1852158eb86c0ed242,57.234.237.213,True,False,False,"{'num_transactions': 128, 'total_amount': 2273967.1002000216, 'unique_merchants': 71, 'unique_countries': 12, 'max_single_amount': 464787.9549892604}",False
TX_d55ba9cf,CUST_98431,372674215860257,2024-10-29 14:41:23.892279,Gas,major,Exxon,27297.85,RUB,Russia,Unknown City,medium,Basic Debit,False,Chrome,web,36cf47f65afd9fb0ffaf85f9dd8d20aa,159.92.181.89,False,False,False,"{'num_transactions': 40, 'total_amount': 1462988.356036491, 'unique_merchants': 37, 'unique_countries': 6, 'max_single_amount': 777545.0259990483}",False
TX_28bf476a,CUST_20782,377274927400123,2024-10-30 16:24:40.785618,Education,supplies,Barnes & Noble,153.18,SGD,Singapore,Unknown City,medium,Basic Debit,False,Edge,web,5b71dac4614424920281cec0bd3e1930,118.27.90.46,False,False,False,"{'num_transactions': 0, 'total_amount': 153.1838403918399, 'unique_merchants': 0, 'unique_countries': 0, 'max_single_amount': 153.1838403918399}",False
TX_2dd63c35,CUST_45223,5480486034443282,2024-10-12 16:31:12.705398,Restaurant,premium,Ruth's Chris,779.91,AUD,Australia,Unknown City,medium,Platinum Credit,False,Android App,mobile,f5238b2f6a0a9c7471f81df6a0c04750,201.201.113.76,False,False,True,"{'num_transactions': 572, 'total_amount': 13964469.152502166, 'unique_merchants': 104, 'unique_countries': 12, 'max_single_amount': 1303852.6521463164}",False
TX_7f172f1c,CUST_51542,6669803197152776,2024-10-01 13:38:03.975533,Travel,hotels,Hilton,153006.55,JPY,Japan,Unknown City,medium,Platinum Credit,False,Edge,web,46bbe6850fe63a4df2863b915cc05c73,192.166.120.234,False,True,False,"{'num_transactions': 3207, 'total_amount': 212307440.27938625, 'unique_merchants': 105, 'unique_countries': 12, 'max_single_amount': 3971626.106066928}",False
TX_7e0cb432,CUST_13270,375193520021395,2024-09-30 07:04:27.454827,Grocery,physical,Publix,4195.1,MXN,Mexico,Unknown City,medium,Basic Debit,False,Firefox,web,8e1ab37b52a3405d119fc1592eb74cff,93.163.126.183,True,False,False,"{'num_transactions': 234, 'total_amount': 4494491.445812957, 'unique_merchants': 91, 'unique_countries': 12, 'max_single_amount': 684788.6080521848}",False
TX_bb74560d,CUST_56149,6305621438431852,2024-10-10 09:38:00.431789,Travel,airlines,JetBlue,406796.49,RUB,Russia,Unknown City,medium,Basic Credit,False,Chrome,web,ff9fb69ec5a4e47ec99f5e9d7d293f13,75.105.84.225,False,True,False,"{'num_transactions': 1127, 'total_amount': 53320010.59693231, 'unique_merchants': 105, 'unique_countries': 12, 'max_single_amount': 4356998.795861928}",True
TX_6075d4f5,CUST_37558,375351090429519,2024-10-30 07:48:54.770666,Entertainment,events,StubHub,60449.87,RUB,Russia,Unknown City,medium,Gold Credit,True,Magnetic Stripe,pos,ce593c16bfeb61b068f46cbd403d5c5c,120.205.169.166,True,True,False,"{'num_transactions': 20, 'total_amount': 3324955.985932401, 'unique_merchants': 17, 'unique_countries': 5, 'max_single_amount': 747091.0669044149}",True
TX_1d9ec8b8,CUST_15770,6819459520096286,2024-10-15 02:45:49.453346,Travel,booking,Booking.com,4809629.87,NGN,Nigeria,Unknown City,medium,Platinum Credit,False,Chrome,web,ef581cf0e799e217a8abba51064ecbce,235.180.100.134,True,True,False,"{'num_transactions': 718, 'total_amount': 31045228.15435783, 'unique_merchants': 104, 'unique_countries': 12, 'max_single_amount': 4809629.871001298}",True
TX_32f38577,CUST_75594,6629956071416136,2024-10-15 18:52:40.472530,Gas,local,Highway Gas Stop,109662.95,NGN,Nigeria,Unknown City,medium,Basic Debit,False,iOS App,mobile,03e2c3106ec8ea649fc7a48e58baf4e6,10.90.4.187,False,False,False,"{'num_transactions': 815, 'total_amount': 90812351.01434535, 'unique_merchants': 105, 'unique_countries': 12, 'max_single_amount': 2523699.7865561964}",False
TX_454f2950,CUST_35596,376966874678707,2024-10-02 12:30:45.198258,Retail,physical,Costco,188559.57,NGN,Nigeria,Unknown City,medium,Basic Debit,False,Firefox,web,1060a213fc0640077059e5a527d9f559,176.40.127.142,False,False,False,"{'num_transactions': 1219, 'total_amount': 124136931.48858482, 'unique_merchants': 105, 'unique_countries': 12, 'max_single_amount': 1683269.2805161313}",False
